,Encoding
1533,"Finite Element Analysis ENGR 460 = MECH 460 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 460 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
1534,"Finite Element Analysis ENGR 460 = MECH 460 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 460 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
1535,"Gas Dynamics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 461 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1536,"Gas Dynamics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 461 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1537,"Gas Dynamics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 461 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1538,"Fluid Power Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 463 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1539,"Fluid Power Control  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 463 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1540,"Microcontrollers for Mechatronics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 471 400 Bachelor Hands-on project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated"
1541,"Microcontrollers for Mechatronics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 471 400 Bachelor Hands-on project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated"
1542,"Mechatronics and Automation  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 472 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1543,"Mechatronics and Automation  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 472 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
1544,"Control System Design ENGR 473 = MECH 473 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 473 400 Bachelor Lab project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated"
1545,"Control System Design ENGR 473 = MECH 473 GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 473 400 Bachelor Lab project, Laboratory: 2 hours per week, alternate weeks, 3D printer project incorporated"
1546,"Mechatronics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 474 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
1547,"Mechatronics  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 474 400 Bachelor Laboratory: 3 hours per week, alternate weeks"
1548," Capstone Mechanical Engineering Design Project  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 490A 400 Bachelor design, simulation experimental capstone design project"
1549," Capstone Mechanical Engineering Design Project  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 490A 400 Bachelor design, simulation experimental capstone design project"
1550,"VIRTUAL SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6041 60000 Master A project required"
1551,"VIRTUAL SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6041 60000 Master A project required"
1552,"KINETIC THEORY OF GASES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6101 60000 Master / Certificate A project specific topic applications required"
1553,"CONDUCT N+RADIA N HEAT TRANS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6131 60000 Master A project selected topics required"
1554,"HEAT EXCHANGER DESIGN  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6141 60000 Master A project selected topics required"
1555,"COMBUSTION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6191 60000 Master Projects selected topics required"
1556,"HELICOPTER FLIGHT DYNAMICS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6231 60000 Master / Certificate Case studies projects selected topics required"
1557,"OPERATIONAL PERF./AIRCRAFT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6241 60000 Master / Certificate Projects selected topics required"
1558,"VIBR. PROB. IN ROTAT. MACH.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6301 60000 Master Projects selected applications required"
1559,"NOISE + VIBRATION CONTROL  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6311 60000 Master Projects selected applications required"
1560,"OPT. DESIGN OF MECH. SYST.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6321 60000 Master An optimization project selected topics required"
1561,"MODAL ANALYSIS/MECH.SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6351 60000 Master Projects selected applications required"
1562,"MECHANICS+BIOL. TISSUES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6361 60000 Master A project current topic required"
1563,"METAL MACH.+SURFACE TECH.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6421 60000 Master / Certificate A project selected topics required"
1564,"INTRO TO TRIBOLOGY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6431 60000 Master / Certificate A project specific topic applications required"
1565,"STRESS ANALYSIS/MECH DESIGN  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6441 60000 Master / Certificate Case studies, project selected applications required"
1566,"COMPUTER-AIDED MECH. DESIGN  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6451 60000 Master A project required"
1567,"ENGR METROL & MESRT SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6491 60000 Master A project required"
1568,"ADVANCED MATERIALS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6501 60000 Master / Certificate A project selected topics current interest required"
1569,"CASTING  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6531 60000 Master A project current research topic selected applications required"
1570,"CASTING  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6531 60000 Master A project current research topic selected applications required"
1571,"JOIN G PROC+NONDESTRUC.TEST.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6541 60000 Master A project current research topic selected applications required"
1572,"FRACTURE  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6551 60000 Master A project current research topics selected applications required"
1573,"HIGH STRENGTH MATERIALS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6561 60000 Master A project current research topics selected applications required"
1574,"TEST.EVAL./COMP.MATS.+STRUC.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6601 60000 Master / Certificate A project selected topics current interest required"
1575,"NUMERICALLY CONTROLLED MACH.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6611 60000 Master A design project multi-surface machine parts required"
1576,"ENG. FRACTURE MECH.+FATIGUE  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6641 60000 Master A case study project selected applications required"
1577,"STUCTURAL COMPOSITES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6651 60000 Master A project selected applications required"
1578,"THERMODYN/PHASE EQUILIB/MATS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6661 60000 Master A project required"
1579,"F.E.M. IN MACHINE DESIGN  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6671 60000 Master A case study project selected applications required"
1580,"DYNAMICS+CNTL.;NONHOLO.SYST.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6681 60000 Master A project required"
1581,"OPTICAL MICROSYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6691 60000 Master A project required"
1582,"CONVECTION HEAT TRANSFER  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 7101 70000 Master Project term paper required"
1583,"DESIGN USING COMPOSITE MAT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 7501 70000 Master A project selected topics required"
1584,"VEHICLE VIBRATION+CONTROL  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 7511 70000 Master Projects selected applications required"
1585,"DESIGN/INDUSTRIAL CTRL. SYS.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6021 60000 Master / Certificate A project specific topic applications required"
1586,"PROCESS DYNAMICS+CONTROL  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6051 60000 Master A project selected topics current interest required"
1587,"ANALY+DES/HYDRAUL CTRL. SYS.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6061 60000 Master / Certificate A projects selected topics required"
1588,"FLIGHT CONTROL SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6091 60000 Master / Certificate Flight simulation, Projects selected topics required"
1589,"GAS DYNAMICS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6111 60000 Master / Certificate A project specific applications required"
1590,"AERODYNAMICS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6121 60000 Master / Certificate A project specific topic applications required"
1591,"GAS TURBINE DESIGN  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6161 60000 Master / Certificate A project specific topic applications required"
1592,"TURBOMACHINERY + PROPULSION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6171 60000 Master / Certificate Projects selected topics required"
1593,"HEAT VENT+AIR CONDITION SYS.  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6181 60000 Master A project selected applications required"
1594,"SPACE FL. MECH. & PROPULSION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6251 60000 Master A project required"
1595,"AEROELASTICITY  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6481 60000 Master A project specific applications required"
1596,"MECHANICAL FORMING OF METALS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6511 60000 Master / Certificate A project current research topics selected applications required"
1597,"MECHANICAL FORMING OF METALS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6511 60000 Master / Certificate A project current research topics selected applications required"
1598,"MANUFACTURING OF COMPOSITES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6521 60000 Master / Certificate A project selected topics current interest required"
1599,"MECH BEHAV/POLYMER COMP MAT  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6581 60000 Master / Certificate Projects selected applications required"
1600,"MICROPROCESS + APPLICATIONS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6621 60000 Master / Certificate A project specific topic applications required"
1601,"INDUSTRIAL AUTOMATION  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6631 60000 Master A project specific topic applications required"
1602,"VEHICLE DYNAMICS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6751 60000 Master A project research topics required"
1603,"VEHICULAR INTER.COMB.ENGINES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6761 60000 Master Modelling, Simulation, Demonstration lab"
1604,"MECHATRONICS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6741 60000 Master A project required"
1605,"Corrosion and Oxidation of Metals  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6571 60000 Master A project current research topics selected applications required"
1606,"Corrosion and Oxidation of Metals  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6571 60000 Master A project current research topics selected applications required"
1607,"ENGINEERING ANALYSIS OF SMART MATERIALS AND STRUCTURES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6341 60000 Master A project required"
1608,"ANALYSIS OF INDUSTRIAL CONTROL SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6011 60000 Master A project selected topics required"
1609,"DRIVERLESS GROUND VEHICLES  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6771 60000 Master A project selected topics required"
1610,"GUIDED VEHICLE SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 6781 60000 Master A project selected topics integral part course"
1611,"DYNAMICS OF HYDRAULIC CONTROL SYSTEMS  GCS Mechanical, Industrial and Aerospace Engineering (MIAE) MECH 7011 70000 Master Projects selected topics required"
1612,CHAMBER ENSEMBLE I  FFA Music MPER 321 300 Bachelor Public performance
1613,CHAMBER ENSEMBLE II  FFA Music MPER 322 300 Bachelor Public performance
1614,CHAMBER ENSEMBLE III  FFA Music MPER 421 400 Bachelor Public performance
1615,APPLIED LINEAR STAT MODELS  JMSB Finance MSCA 602 600 Master Case studies
1616,RESEARCH METHODOLOGY-FINANCE  JMSB Finance MSCA 611 600 Master Research paper presentation separate research paper
1617,SEMINAR IN OPTIONS & FUTURES  JMSB Finance MSCA 625 600 Master Research proposal presentation
1618,SEMINAR IN SPECIAL TOPICS IN FINANCE  JMSB Finance MSCA 632 600 Master Research paper presentation
1619,CONSULTING  JMSB Management MSCA 654 600 Master Team assignment client firm
1620,"Introduction to Performance Studies  FFA Theatre PERC 321 300 Bachelor Course investigates broad range sites practices realms theatre, dance, cultural forms"
1621,Gender and Sexuality in Performance  FFA Theatre PERC 322 300 Bachelor Course provides grounding feminist queer theory critical tools analysis creation performance.
1622,"Queer Theatre and Performance  FFA Theatre PERC 324 300 Bachelor Course examines stage been, continues be, necessary public forum queer political activism identity politics"
1623,Interdisciplinary Approaches to Performance Creation TDEV 398 = PERC 386 FFA Theatre PERC 386 300 Bachelor Introduces students interdisciplinary methods developing solo collaborative site‑specific works
1624,Interdisciplinary Approaches to Performance Creation TDEV 398 = PERC 386 FFA Theatre PERC 386 300 Bachelor Introduces students interdisciplinary methods developing solo collaborative site‑specific works
1625,Supervised Internship I PERC 408=DFTT 408=SCEN 408 FFA Theatre PERC 408 400 Bachelor Course provides students opportunity obtain credit work completed recognized theatre company
1626,Supervised Internship I PROD 408 = PERC 408 FFA Theatre PERC 408 400 Bachelor Course provides students opportunity obtain credit work completed recognized theatre company
1627,Supervised Internship II PROD 309/409/DFTT409/PERC 409 FFA Theatre PERC 409 400 Bachelor Course provides students opportunity obtain credit work completed recognized theatre company
1628,"Socially Engaged and Activist Performance TDEV 398 = PERC 421 FFA Theatre PERC 421 400 Bachelor Theory practice approaches genres selected community arts, oral history performance, street theatre, performance art, political theatre"
1629,Directing II  FFA Theatre PERC 471 400 Bachelor Assignment involves directing short work
1630,Directing II  FFA Theatre PERC 471 400 Bachelor Assignment involves directing short work
1631,Theatre in the City PROD 211 = PERC 211 FFA Theatre PERC 211 200 Bachelor Students encounter challenges small production project collaboration students
1632,Theatre in the City PROD 211 = PERC 211 FFA Theatre PERC 211 200 Bachelor Students encounter challenges small production project collaboration students
1633,"Performance Creation Mainstage PROD 415 = PERC 490 FFA Theatre PERC 490 400 Bachelor Students working ensemble aspects study production existing theatre script, creation production original piece theatre"
1634,"Performance Creation Mainstage PROD 415 = PERC 490 FFA Theatre PERC 490 400 Bachelor Students working ensemble aspects study production existing theatre script, creation production original piece theatre"
1635,The Engaged Theatre Artist  FFA Theatre PERC 209 200 Bachelor Students explore basic skills principles performance creation acting theatre
1636,The Engaged Theatre Artist  FFA Theatre PERC 209 200 Bachelor Students explore basic skills principles performance creation acting theatre
1637,"Performance Creation Studio I: Theory and Method TDEV 210 = PERC 210 FFA Theatre PERC 210 200 Bachelor Students study wide range theories techniques creating socially engaged, collaborative community-based performance works."
1638,"Performance Creation Studio I: Theory and Method TDEV 210 = PERC 210 FFA Theatre PERC 210 200 Bachelor Students study wide range theories techniques creating socially engaged, collaborative community-based performance works."
1639,Special Topics in Performance Creation  FFA Theatre PERC 298 200 Bachelor The study specialized aspects performance creation
1640,Special Topics in Performance Creation  FFA Theatre PERC 298 200 Bachelor The study specialized aspects performance creation
1641,Community Arts: The Art of Engagement TDEV 301 = PERC 351 FFA Theatre PERC 351 300 Bachelor Course includes practical explorations various approaches creating socially engaged theatre performance.
1642,Performance Creation Studio II: Collaborative Practice TDEV 314 = PERC 384 FFA Theatre PERC 384 300 Bachelor Students generate rehearse original material inspired current events
1643,Performance Creation Studio II: Collaborative Practice TDEV 314 = PERC 384 FFA Theatre PERC 384 300 Bachelor Students generate rehearse original material inspired current events
1644,Independent Study II TDEV 415 = PERC 415 FFA Theatre PERC 415 400 Bachelor Student‑proposed research project supervised full‑time faculty member.
1645,"Introduction to Dramaturgy I THEA 211 = PERC 212 FFA Theatre PERC 212 200 Bachelor Course emphasis script analysis including elements structure, semiotics, genre, style"
1646,"Puppetry and Performing Object Workshop THEA 316 = PERC 356 FFA Theatre PERC 356 300 Bachelor Course combines building, basic manipulation, show‑making techniques"
1647,"Puppetry and Performing Object Workshop THEA 316 = PERC 356 FFA Theatre PERC 356 300 Bachelor Course combines building, basic manipulation, show‑making techniques"
1648,Playwriting I THEA 341 = PERC 318 FFA Theatre PERC 318 300 Bachelor Course focuses building skills writing stage
1649,Special Topics in Performance Creation  FFA Theatre PERC 398 300 Bachelor A seminar course exploring topic performance creation
1650,Special Topics in Performance Creation  FFA Theatre PERC 398 300 Bachelor A seminar course exploring topic performance creation
1651,Special Topics in Performance Creation  FFA Theatre PERC 398 300 Bachelor A seminar course exploring topic performance creation
1652,Special Topics in Performance Creation  FFA Theatre PERC 399 300 Bachelor A seminar studio course exploring topic performance creation
1653,Special Topics in Performance Creation  FFA Theatre PERC 399 300 Bachelor A seminar studio course exploring topic performance creation
1654,Independent Study I THEA 405 = TDEV 405 = PERC 405 FFA Theatre PERC 405 400 Bachelor Student‑proposed research project supervised full‑time faculty member.
1655,"Directing I THEA 411 = PERC 311 FFA Theatre PERC 311 300 Bachelor Students learn basic organizational, analytical, leadership skills stage direction."
1656,"Directing I THEA 411 = PERC 311 FFA Theatre PERC 311 300 Bachelor Students learn basic organizational, analytical, leadership skills stage direction."
1657,Special Topics in Performance Creation  FFA Theatre PERC 498 400 Bachelor A studio course exploring topic performance creation
1658,Special Topics in Performance Creation  FFA Theatre PERC 498 400 Bachelor A studio course exploring topic performance creation
1659,Special Topics in Performance Creation  FFA Theatre PERC 498 400 Bachelor A studio course exploring topic performance creation
1660,Special Topics in Performance Creation  FFA Theatre PERC 499 400 Bachelor A seminar studio course exploring topic performance creation
1661,Special Topics in Performance Creation  FFA Theatre PERC 499 400 Bachelor A seminar studio course exploring topic performance creation
1662,Playwriting II  FFA Theatre PERC 462 400 Bachelor Students work original performance text developed workshop process
1663,"Oral History Performance  FFA Theatre PERC 464 400 Bachelor Hybrid seminar‑studio course explores key ethical, dramaturgical, performative dimensions emergent field oral history performance"
1664,"INDIGENOUS STORYTELLING  FFA Theatre PERC 422 400 Bachelor Studio course introduces students foundational Indigenous stories exploration worldview philosophy, utilizing variety Indigenous performance methods"
1665,SHORT WORKS FESTIVAL  FFA Theatre PERC 488 400 Bachelor Explores methods conceiving creating new theatre work relation contemporary topics and/ subject matter
1666,"PERFORMANCE CREATION FIELD SCHOOL  FFA Theatre PERC 496 400 Bachelor Experiential learning performance creation performance studies via faculty-led travel residency festival, conference, exhibition partner institution"
1667,"Deductive Logic PHIL 214 = PHIL 321 FAS Philosophy PHIL 214 200 Bachelor This course presents modern symbolic systems sentential predicate logic. Students transcribe English sentences logical form, analyze concepts logical truth, consistency, validity, well learn construct derivations system."
1668,"Deductive Logic PHIL 214 = PHIL 321 FAS Philosophy PHIL 214 200 Bachelor This course presents modern symbolic systems sentential predicate logic. Students transcribe English sentences logical form, analyze concepts logical truth, consistency, validity, well learn construct derivations system."
1669,"Introduction to the Philosophy of Science PHIL 220 = PHIL 228 FAS Philosophy PHIL 220 200 Bachelor This course provides introduction main problems philosophy science. These include structure scientific theories, various models scientific method explanation, existence unobservables."
1670,"Introduction to the Philosophy of Science PHIL 220 = PHIL 228 FAS Philosophy PHIL 220 200 Bachelor This course provides introduction main problems philosophy science. These include structure scientific theories, various models scientific method explanation, existence unobservables."
1671,"Introduction to Ethics  FAS Philosophy PHIL 232 200 Bachelor In course, students introduced representative approaches ethical thought action."
1672,"Introduction to Ethics  FAS Philosophy PHIL 232 200 Bachelor In course, students introduced representative approaches ethical thought action."
1673,Presocratics and Plato  FAS Philosophy PHIL 260 200 Bachelor This course study ancient Greek philosophy beginnings Plato.
1674,Presocratics and Plato  FAS Philosophy PHIL 260 200 Bachelor This course study ancient Greek philosophy beginnings Plato.
1675,"Aristotle and Hellenistic Philosophy  FAS Philosophy PHIL 261 200 Bachelor This course introduction Aristotle main lines thought Hellenistic philosophy, including Stoicism, Epicureanism Scepticism."
1676,"Aristotle and Hellenistic Philosophy  FAS Philosophy PHIL 261 200 Bachelor This course introduction Aristotle main lines thought Hellenistic philosophy, including Stoicism, Epicureanism Scepticism."
1677,"Introduction to Epistemology  FAS Philosophy PHIL 263 200 Bachelor An introduction basic concepts problems epistemology, including belief, knowledge, scepticism, perception, intentionality."
1678,"Introduction to Epistemology  FAS Philosophy PHIL 263 200 Bachelor An introduction basic concepts problems epistemology, including belief, knowledge, scepticism, perception, intentionality."
1679,Introduction to Metaphysics  FAS Philosophy PHIL 265 200 Bachelor This course introduction metaphysics attempt understand mind‑independent reality.
1680,Introduction to Metaphysics  FAS Philosophy PHIL 265 200 Bachelor This course introduction metaphysics attempt understand mind‑independent reality.
1681,SPECIAL TOPICS IN PHILOSOPHY  FAS Philosophy PHIL 495 400 BA An honours student may arrange tutorial program faculty member culminating research project exceeding 40 pages.
1682,Tutorial in Philosophy  FAS Philosophy PHIL 496 400 BA Personal intensive reading research program supervision faculty member.
1683,TUTORIAL IN PHILOSOPHY  FAS Philosophy PHIL 497 400 BA Personal intensive reading research program supervision faculty member.
1684,"INTRODUCTION TO COLOUR PHOTOGRAPHY  FFA Studio Arts PHOT 201 200 Bachelor This introductory-level course covers fundamental techniques specific colour photography including basic camera functions, film exposure, printing."
1685,"Foundations in Photographic Vision Theory and Practice I PHOT 200 = PHOT 210 FFA Studio Arts PHOT 210 200 Bachelor In course, students investigate examine numerous aspects photography’s complex history, aesthetics, processes, well different camera darkroom techniques specific colour photography."
1686,"BLACK AND WHITE PHOTOGRPAHY I  FFA Studio Arts PHOT 211 200 Bachelor A studio course introducing use black white photographic process, parallel colour production practice taught PHOT 210."
1687,Photographic Vision: Theory and Practice II  FFA Studio Arts PHOT 300 300 Bachelor The purpose studio course provide framework within students pursue photographic practice intermediate level.
1688,"Black and White II Fine Art Printing  FFA Studio Arts PHOT 301 300 Bachelor A continuation PHOT 211 , studio course explores techniques fine art black‑and‑white printing."
1689,"Large Format Photography I  FFA Studio Arts PHOT 311 300 Bachelor A studio course introducing large format photography, techniques application. Demonstrations cover basics view camera operation, light metering, sheet film exposure, development, advanced printing."
1690,Large Format Photography II PHOT 310 = PHOT 312 FFA Studio Arts PHOT 312 300 Bachelor A studio course directed towards development individual approach view camera photography.
1691,Digital Photography I  FFA Studio Arts PHOT 331 300 Bachelor An introductory studio course investigating technical creative aspects digital photography.
1692,Digital Photography II  FFA Studio Arts PHOT 332 300 Bachelor This advanced course expands basic control skills creative aspects digital technology implementing personal approaches use technology.
1693,Advanced Workshop in Photography  FFA Studio Arts PHOT 400 400 Bachelor A studio course students pursue one extended photographic projects black white and/or digital.
1694,"Professional Internship  FFA Studio Arts PHOT 470 400 Bachelor A student wishing work apprentice capacity established photographic artist, wishing pursue research photographic criticism, museum work, publication, related endeavours may apply academic credit."
1695,"Professional Internship I  FFA Studio Arts PHOT 471 400 Bachelor A student wishing work apprentice capacity established photographic artist, wishing pursue research photographic criticism, museum work, publication, related endeavours may apply academic credit."
1696,Professional Internship II  FFA Studio Arts PHOT 472 400 Bachelor Students wish additional internships professional milieu may take course.
1697,Independent Study  FFA Studio Arts PHOT 480 400 Bachelor This course provides limited number students opportunity pursue advanced studies photography supervision full‑time photography faculty member.
1698,Independent Study I  FFA Studio Arts PHOT 481 400 Bachelor This course provides limited number students opportunity pursue advanced studies photography supervision full‑time photography faculty member.
1699,Independent Study II  FFA Studio Arts PHOT 482 400 Bachelor This course provides limited number students opportunity pursue advanced studies photography supervision full‑time photography faculty member.
1700,SPECIAL TOPICS IN PHOTOGRAPHY  FFA Studio Arts PHOT 398 300 Bachelor An opportunity study limited specialized aspects photography.
1701,SPECIAL TOPICS IN PHOTOGRAPHY  FFA Studio Arts PHOT 399 300 Bachelor An opportunity study limited specialized aspects photography.
1702,SPECIAL TOPICS IN PHOTOGRAPHY  FFA Studio Arts PHOT 498 400 Bachelor A course advanced students provides opportunity study limited specialized aspects photography.
1703,SPECIAL TOPICS IN PHOTOGRAPHY  FFA Studio Arts PHOT 499 400 Bachelor A course advanced students provides opportunity study limited specialized aspects photography.
1704,"Introductory Experimental Mechanics  FAS Physics PHYS 224 200 Bachelor Experiment, lab"
1705,"Introductory Experimental Electricity  FAS Physics PHYS 225 200 Bachelor Experiment, lab"
1706,"Introductory Experimental Waves and Modern Physics  FAS Physics PHYS 226 200 Bachelor Experiment, lab"
1707,Numerical Analysis in Physics with Python  FAS Physics PHYS 236 200 Bachelor includes Programming project
1708,Numerical Analysis in Physics with Python  FAS Physics PHYS 236 200 Bachelor includes Programming project
1709,Computational Methods in Physics with Python  FAS Physics PHYS 440 400 Bachelor includes Programming project
1710,HONOURS RESEARCH PROJECT  FAS Physics PHYS 496 400 Bachelor Final Year Research Project
1711,Specialization Research Project  FAS Physics PHYS 497 400 Bachelor Final Year Research Project
1712,CONDENSED MATTER PHYSICS II  FAS Physics PHYS 637 600 Master includes Individual project
1713,QUANTITATIVE HUMAN SYSTEMS PHYSIOLOGY  FAS Physics PHYS 663 600 Master includes Individual project
1714,M. SC. SEM/SELECTED TOPICS  FAS Physics PHYS 760 700 Master includes workshops
1715,PH.D. SEM ON SELECTED TOP II  FAS Physics PHYS 862 800 PhD includes workshops
1716,CHEMICAL ASPECTS OF BIOPHYSICS  FAS Physics PHYS 660 600 Master includes Individual project
1717,PRINCIPLES OF MEDICAL IMAGING  FAS Physics PHYS 665 600 Master includes Individual project
1718,"Experimental Physics I  FAS Physics PHYS 230 200 Bachelor Experiment, lab"
1719,"Experimental Physics II  FAS Physics PHYS 330 300 Bachelor Experiment, lab"
1720,Honours Research Experience  FAS Physics PHYS 289 200 Bachelor Research Project
1721,Honours Research Experience II  FAS Physics PHYS 389 300 Bachelor Research Project
1722,"Human Rights: An Overview POLI214 = POLI298B FAS Political science POLI 214 200 Bachelor This course introduces students historical origins concept human rights; international regime acceptance several generations rights civil political rights, economic rights, group rights, women’s rights; critiques universalism problems implementation human rights."
1723,"Human Rights: An Overview  FAS Political science POLI 214 200 Bachelor This course introduces students historical origins concept human rights; international regime acceptance several generations rights civil political rights, economic rights, group rights, women’s rights; critiques universalism problems implementation human rights."
1724,"Not-for-Profit Organizations and the Law  FAS Political science POLI 300 300 Bachelor This course introduces students legal regimes affecting not‑for‑ profit organizations (NPO). The course covers legal structures, rules procedures govern NPOs, vast diversity NPOs, practical questions set NPO."
1725,"International Organizations  FAS Political science POLI 315 300 Bachelor This course offers overview international institutions global governance. It examines major theoretical perspectives international organizations, addresses role United Nations system, regional organizations, non‑governmental organizations promoting international co‑operation address collective problems."
1726,"Public Policy and the Politics of Equality  FAS Political science POLI 328 300 Bachelor This course reviews theoretical debates role state individual, collective individual rights, integration, role cultural diversity identity. It examines selected policy demands women, poor, refugees, constituencies."
1727,"Public Policy and the Politics of Equality  FAS Political science POLI 328 300 Bachelor This course reviews theoretical debates role state individual, collective individual rights, integration, role cultural diversity identity. It examines selected policy demands women, poor, refugees, constituencies."
1728,"Quantitative Research Methods  FAS Political science POLI 393 300 Bachelor This course intended introduce graduate students quantitative analysis political science. Key skills univariate, bivariate, multivariate analysis; hypothesis testing; measures association; inferential statistics; graphing demonstrated using statistical software lab exercises."
1729,Strategic Studies  FAS Political science POLI 419 400 Bachelor Simulations
1730,Honours Thesis  FAS Political science POLI 495 400 Bachelor 
